StationName,RouteNumbers,geometry
М-н Книги,А233; А90; А801; А594,POINT (37.50217988 55.86378554)
Фестивальная ул.,А90; А801; А500,POINT (37.50594619 55.86137424)
Флотская ул.,А90; А801; А500,POINT (37.50941753 55.85883776)
Солнечногорская ул.,А65; А90; А65К; А565; А801; А621,POINT (37.51406707 55.85536084)
"Онежская ул., 19",А90; А72; А139; А565; А801; А621,POINT (37.51918742 55.85154723)
Онежская ул. - Колледж,А123; А90; А72; А565; А801; А22; А621,POINT (37.52157813 55.84409988)
МЦК Коптево,А123; А90; А565,POINT (37.51813253 55.84121009)
Ф-ка им. Петра Алексеева,А123; А90; А565,POINT (37.51580279 55.83910127)
Электромеханический колледж,А123; А90; А565,POINT (37.51182132 55.83778569)
Ф-ка игрушек,А90,POINT (37.51240141 55.82918223)
Старопетровский пр.,А90; А114; А621,POINT (37.50758103 55.82460143)
Онкологический диспансер,А90; А114; А621,POINT (37.50344704 55.82364048)
Коровинское ш.,А665; А799; А656; А114; А191; А270; А499; АТ56,POINT (37.51857144 55.88231105)
Талдомская ул.,А799; А748; А857; А114; А284; А92; А154; А499,POINT (37.52852678 55.8751219)
Ин-т Микрохирургии глаза,АМ10; А114; А206; А167; А154,POINT (37.53908121 55.87320802)
Муз. школа,АМ10; А114; А206; А167; А154,POINT (37.5438328 55.87348434)
Аптека,АМ10; А114; А167; А154,POINT (37.5524069 55.87321427)
Школа № 656,АМ10; А114; А167; А154,POINT (37.554861 55.87114913)
Рогачевский пер.,АМ10; А114; А167; А154,POINT (37.55767154 55.86750227)
Бескудниковский пер.,АМ10; А114; А167; А154; АТ47,POINT (37.56080902 55.86350936)
Торговый центр,А114; А466; А167; А154,POINT (37.5619061 55.86192215)
Роддом № 27,А114,POINT (37.52868045 55.83113889)
Коптевский рынок,А114,POINT (37.52185322 55.83295193)
Коптевская ул.,А114; А621,POINT (37.51809726 55.82930661)
Коптевская ул.,А114; А621,POINT (37.51910841 55.83087861)
Коптевский рынок,А114,POINT (37.52114845 55.83208078)
Роддом № 27,А114,POINT (37.52758635 55.83028842)
Метро Петровско-Разумовская,А114; А282,POINT (37.57571844 55.8372403)
К/т Комсомолец,А114; А466; АТ78; А82; А215; АТ47; АТ56,POINT (37.57029254 55.84221842)
Нижн. Лихоборы,А179; А114; А466; АТ78; А82; А194; А215; АТ47; АТ56,POINT (37.56848803 55.84699926)
Торговый центр,АМ10; А114; А167; А154,POINT (37.5616735836 55.8628546051)
