StationName,RouteNumbers,geometry
"Пролетарский просп., 19",А269; А220; А701; А164; АН13; А192; А150; А784; АТ11,POINT (37.6559117024 55.6422127045)
Загорье,А717; А796; А1200к; А1130; А1020; А489; А690; А701; АН13; А289; А901; АТ11,POINT (37.6840701565 55.5799079364)
"Липецкая ул., 46",А796; А1200к; А1130; А1020; А489; А690; А701; А203; АН13; А289; А901; АТ11,POINT (37.68234425 55.58091261)
Кавказский бульв.,А217; А839; А1200к; А1020; А182; АДП23; А489; А690; А150; АТ11,POINT (37.66052439 55.62874324)
Бакинская улица,А1200к; АДП23; А489; А690; АТ11,POINT (37.65684951 55.62726285)
Севанская ул.,А162; А1200к; А1020; А489; А690; А245; АН13; АТ11,POINT (37.65676296 55.62229422)
"Бакинская ул., 29",А162; А1200к; А1020; А489; А245; АН13; АТ11,POINT (37.65745166 55.61772268)
Царицынский путепровод,А162; А269; А1200к; А756; А1020; А182; А1130; А489; А221; А245; А269К; АН13; А289; АТ11,POINT (37.66219414 55.61204956)
6-я Радиальная улица,А162; А269; А756; А1020; А182; А1130; А489; А221; А690; А701; А245; А203; А761; А679; А269К; АН13; А289; А901; АТ11,POINT (37.66556983 55.60831689)
Финансовый колледж,А162; А756; А1020; А182; А1130; А489; А221; А245; А203; АН13; А289; АТ11,POINT (37.66837959 55.60519358)
Педагогическая ул.,А162; А1200к; А1020; А489; А690; А245; А203; А761; А679; АТ11,POINT (37.6720991 55.59539671)
"Липецкая ул., 46",А717; А796; А1200к; А1130; А1020; А489; А690; А701; А203; АН13; А289; А901; АТ11,POINT (37.68196839 55.58200917)
Загорье,А717; А796; А1200к; А1130; А1020; А489; А690; А701; А203; АН13; А289; А901; АТ11,POINT (37.68355019 55.57974798)
Ул. Москворечье,А162; А269; АДП23; А192; А150; А756; А784,POINT (37.64923875 55.64701418)
Студгородок,А162; А269; АДП23; А192; А150; А756; А784,POINT (37.65387615 55.64423121)
Бакинская ул.,А217; А839; А182; А150,POINT (37.65466288 55.62803115)
14-я гор. б-ца,А217; А839; А182; А150,POINT (37.6492136 55.62821063)
Деловая ул.,А839; А182; А150,POINT (37.6399998562 55.6287788725)
Мясокомбинат,А150,POINT (37.63343802 55.62927807)
"Платф. Чертаново (выс., пос.)",А150,POINT (37.6284318495 55.6331863943)
Тарный проезд,А150,POINT (37.63487602 55.63424036)
"Деловая ул., 15",А150,POINT (37.63977204 55.63216943)
Деловая ул.,А182; А150,POINT (37.6414495193 55.6285107016)
14-я гор. б-ца,А217; А182; А150,POINT (37.64841204 55.62797333)
Бакинская ул.,А217; А182; А150,POINT (37.65566367 55.6277285)
Студгородок,А162; А269; АДП23; А192; А150; А756; А784,POINT (37.65297651 55.64482952)
Ул. Москворечье,А162; А269; АДП23; А192; А150; А756,POINT (37.64940477 55.64721058)
Детская п-ка № 23,А162; АДП23; А289,POINT (37.6716041702 55.6406903176)
Школа искусств Родник,А162; АДП23; А663; А192; А784,POINT (37.66817571 55.63733313)
"Кантемировская ул., 39",А162; АДП23; А663; А192; А784,POINT (37.6626291 55.6377028)
Метро Кантемировская,А162; АДП23; А663; А192; А784,POINT (37.6559933 55.63835453)
"Улица Бехтерева, 5",А162; А269,POINT (37.6490489 55.63492583)
"Улица Бехтерева, 25",А162; А269,POINT (37.64716382 55.62684416)
Севанская ул.,А162; А269; АДП23,POINT (37.64754928 55.62411237)
"Севанская улица, 15",А162; А269; АДП23,POINT (37.65516427 55.62345353)
Ряжская ул.,А162; А245,POINT (37.67174327 55.58968041)
Поликлиника,А162; А245,POINT (37.66780108 55.59022902)
Мебельная ф-ка,А162; А796; А1130; А701; А245; АН13; А289,POINT (37.66379004 55.59152917)
Ст. Бирюлево-тов.,А162; А756; А182; А245,POINT (37.65676141 55.59507171)
К/т Керчь,А162; А796; А1130; А701; А245; АН13; А289,POINT (37.6629619404 55.5945159056)
Мебельная ф-ка,А162; А796; А1130; А701; А245; АН13; А289,POINT (37.6641893 55.59127279)
Поликлиника,А162; А245,POINT (37.66809046 55.58996966)
Ряжская ул.,А162; А245,POINT (37.671983 55.58947591)
"Севанская улица, 15",А162; А269; АДП23,POINT (37.6537399467 55.6239173951)
Севанская ул.,А162; А217; А269,POINT (37.64695728 55.62467042)
"Улица Бехтерева, 25",А162; А269,POINT (37.64757573 55.62737251)
"Ул. Бехтерева, 15",А162; А269,POINT (37.64831558 55.63058154)
"Улица Бехтерева, 5",А162; А839; А269,POINT (37.64921993 55.63451664)
Метро Кантемировская,А162; А839; А269,POINT (37.65361945 55.63751648)
Метро Кантемировская,А162; АДП23; А663; А192; А784,POINT (37.65682315 55.63814098)
"Кантемировская ул., 39",А162; АДП23; А663; А192; А784,POINT (37.66161808 55.63795067)
Школа искусств Родник,А162; АДП23; А663; А192; А784,POINT (37.66746133 55.63754901)
Ул. Кошкина,А162; АДП23; А663; А192; А784,POINT (37.67279781 55.63719521)
Ул. Кошкина,А192; А784,POINT (37.67493405 55.63688216)
Метро Кантемировская (выс.),А217; А690,POINT (37.6574566 55.63523829)
6-й мкр. Загорья (пос.),А693; А701; А203; А761; А679; АН13,POINT (37.68834113 55.58572855)
"Лебедянская ул., 22",А693; А701; А203; А761; А679; АН13,POINT (37.68359899 55.58608739)
"Липецкая ул., 7",А693; А701; А203; А761; А679; АН13,POINT (37.68209354 55.58414428)
Ягодная улица,А717; А690; А203; АН13; А289,POINT (37.67758004 55.58023769)
"Бирюлевская ул., 58",А693; А717; А1130; А690; А289,POINT (37.67127463 55.58044499)
Загорьевский проезд,А717; А1130; А289,POINT (37.66498437 55.57916312)
Платф. Бирюлево - пасс.,А693; А690,POINT (37.6623632 55.58178068)
Загорьевский проезд,А1130; А289,POINT (37.66431058 55.57942108)
"Бирюлевская ул., 58",А693; А1130; А690; А289,POINT (37.67066613 55.5804042)
Ягодная улица,А1130; А690; А701; А203; АН13; А289,POINT (37.67622265 55.58092289)
"Лебедянская ул., 22",А693; А701; А203; А761; А679; АН13,POINT (37.68439358 55.5858265)
"Лебедянская ул., 26",А693; А701; А203; А761; А679; АН13,POINT (37.6890074 55.58550476)
6-й мкр. Загорья,А693; А701; А203; А761; А679; АН13,POINT (37.69163975 55.58548271)
Даниловский рынок,А9; АО47,POINT (37.61807438 55.7117483)
Хавская ул.,А9; АО47,POINT (37.61439183 55.71186878)
Хавская ул.,А9; АО47,POINT (37.61414931 55.71127185)
Даниловский рынок,А9; АО47,POINT (37.61975471 55.71112426)
"Загорьевский проезд, 3",А693; А690,POINT (37.66246056 55.57778238)
Магазин,А693; А690,POINT (37.66291863 55.57633768)
"Загорьевский пр., 7",А693; А690,POINT (37.66581659 55.57381465)
"Загорьевский пр., 7",А693; А690,POINT (37.66498561 55.57429763)
Магазин,А693; А690,POINT (37.6631331 55.57666947)
"Загорьевский проезд, 3",А693; А690,POINT (37.66267355 55.57817069)
"Каспийская ул., 26",А182; А245; А679; А269К; А289,POINT (37.67439041 55.62277107)
Ереванская ул.,А182; А245; А679; А269К; А289,POINT (37.6792643 55.62669733)
"Каспийская ул., 6",А220; А182; А663; А289,POINT (37.68331796 55.63035255)
Каспийская ул.,А220; А182; А663,POINT (37.68295877 55.63268903)
Почта,А220; А182; А663,POINT (37.67974729 55.63330536)
Ул. Медиков,А220; А182; А663,POINT (37.67478611 55.63430176)
Районный центр Эльбрус,А220; А182,POINT (37.66813666 55.6326936)
"Деловая ул., 15",А839; А182,POINT (37.64017304 55.63271755)
Тарный проезд,А182,POINT (37.63548508 55.63438913)
"Платф. Чертаново (выс., пос.)",А182,POINT (37.6286435363 55.6324442747)
Мясокомбинат,А182,POINT (37.63354913 55.62904919)
Районный центр Эльбрус,А220; А182; А663,POINT (37.66733606 55.63160977)
Ул. Медиков,А220; А182; А663,POINT (37.67419086 55.63431054)
Почта,А220; А182; А663,POINT (37.67911684 55.63320042)
Каспийская ул.,А220; А182; А663,POINT (37.68349091 55.63240114)
"Каспийская ул., 6",А220; А182; А663; А289,POINT (37.68375763 55.63052133)
Ереванская ул.,А220; А182; А663; А289,POINT (37.68083518 55.62771452)
"Каспийская ул., 26",А182; А245; А679; А269К; А289,POINT (37.67482447 55.62330352)
Гостиница онкоцентра,А220; АС8,POINT (37.64077839 55.65963449)
Детская п-ка,А220; АС8,POINT (37.64560158 55.66341011)
Улица Академика Миллионщикова,А820,POINT (37.65420504 55.67482626)
Филиал больницы им. Юдина,А820,POINT (37.65082971 55.67218633)
"Ул. Акад. Миллионщикова, 13",А820,POINT (37.6489845 55.67006172)
"Ул. Акад. Миллионщикова, 23",А820,POINT (37.64756388 55.66742094)
Перинатальный центр,А220; А219; А820,POINT (37.64368916 55.66485856)
"Коломенский пр., 8",А220,POINT (37.6487721728 55.665746939)
"Шипиловская ул., 5",А148; А151; А717; А704,POINT (37.69793937 55.61742488)
Метро Орехово,А274; А711,POINT (37.6949152823 55.6132786155)
"Шипиловский пр., 49",А274; А758; А711; А275; А704; А765,POINT (37.69872984 55.60833468)
"Шипиловский пр., 55",А711; А704к,POINT (37.70212527 55.60629343)
Почта,А711; А704,POINT (37.70578459 55.60388378)
Ясеневая ул.,А711; А704к,POINT (37.71252041 55.59970816)
6-й мкр. Орехово-Борисова,А711,POINT (37.71772815 55.59586203)
6-й мкр. Орехово-Борисова,А795; А711,POINT (37.71752441 55.59629751)
Ясеневая ул.,А795; А711,POINT (37.71347722 55.59871438)
Почта,А711; А704к,POINT (37.70558116 55.60436503)
"Шипиловский пр., 55",А711; А704,POINT (37.70263058 55.60574989)
"Шипиловский пр., 49",А274; А758К; А711; А275; А704к; А765,POINT (37.69862506 55.60874974)
Метро Орехово,А274; А758К; А711; А275; А704к; А765,POINT (37.69552475 55.61231874)
Метро Орехово,А151К; А717; А758К; А709; А711; А704к; А151к,POINT (37.6948766 55.61479422)
Шипиловский ЗАГС,А151; А717; А704к,POINT (37.69523002 55.61724204)
"Шипиловская ул., 5",А148; А151; А717; А704к,POINT (37.69947115 55.61732989)
Шипиловская ул.,А148; А151; А717; А704,POINT (37.70345524 55.61791153)
МЦД Москворечье,А263; А148; А709,POINT (37.68650934 55.64019544)
Шипиловская ул.,А148; А766; А717; А765,POINT (37.70530867 55.61691871)
Детская библиотека,А148; А766; А717; А765,POINT (37.70674318 55.61402772)
Поликлиника № 166,А148; А766; А717; А765,POINT (37.70799842 55.61227579)
Домодедовская ул.,А274; А758К; А275; А765,POINT (37.70852504 55.60955573)
"Ореховый бульвар, 7",А274; А758; А275; А765,POINT (37.70606192 55.6089584)
"Ореховый бульвар, 7",А274; А758К; А275; А765,POINT (37.70415337 55.60887002)
Домодедовская ул.,А148; А766; А717; А765,POINT (37.70909802 55.61006779)
Поликлиника № 166,А148; А766; А717; А765,POINT (37.70772333 55.6119667)
Детская библиотека,А148; А766; А717; А765,POINT (37.70692145 55.61448622)
Орехово-3,А148; А274; А766; А694; А704к,POINT (37.71985614 55.60103449)
"Домодедовская ул., 46",А148; А274; А766; А694,POINT (37.71565548 55.60095126)
Детская п-ка,А148; А274; А766; А694,POINT (37.71350797 55.60478283)
"Домодедовская ул., 17",А148; А274; А766; А694,POINT (37.70993462 55.60843561)
Шипиловский пр.,А148; А758К; А709; А711,POINT (37.69673742 55.61878235)
Ул. Марш. Захарова,А148; А758К; А709; А711,POINT (37.69911773 55.62143448)
Школа № 548,А148; А758К; А709; А711,POINT (37.70270605 55.62283568)
"Каширское ш., 84",А148; А758К; А709; А711,POINT (37.70840868 55.62376957)
"Каширское ш., 84",А148; А758; А709; А711,POINT (37.70909401 55.62410299)
Школа № 548,А148; А758; А709; А711,POINT (37.70181661 55.6228036)
Ул. Марш. Захарова,А148; А758; А709; А711,POINT (37.69843763 55.62128606)
Шипиловский пр.,А148; А758; А709; А711,POINT (37.69625282 55.61825081)
Домодедовская ул.,А148; А274; А766; А795; А694,POINT (37.70924103 55.6090765)
Детская п-ка,А148; А274; А766; А795; А694,POINT (37.71351596 55.60411595)
"Домодедовская ул., 46",А148; А274; А766; А795; А694,POINT (37.71547811 55.60058674)
Орехово-3,А148; А274; А766; А795; А694; А704,POINT (37.71963122 55.60050716)
Каширское шоссе (МКАД),А717; А439; А433; А505; А471; А37; А1008к; А877к; А899к; А1247к; А404; А367; А364; А356; А355; А1017; А1046; А871к; А95; А1184,POINT (37.72623254 55.59618518)
Ст. Бирюлево-тов.,А162; А756; А182; А245,POINT (37.6556371 55.59471611)
К/т Керчь,А796; А756; А1130; А701; А245; АН13; А289,POINT (37.66306789 55.59554024)
"Бирюлёвская улица, 5",А796; А756; А1130; А701; А245; АН13; А289,POINT (37.66303317 55.60040544)
Элеваторная ул.,А756; А1130; А701; АН13; А289,POINT (37.66753351 55.60179994)
"Бирюлёвская улица, 5",А796; А756; А1130; А701; А245; АН13; А289,POINT (37.66253244 55.59975345)
Ин-т Садоводства,А693; А701; А203; АН13,POINT (37.67121435 55.58182667)
Школа,А693; А701; А203; АН13,POINT (37.66732657 55.58528635)
Травмпункт,А693; А796; А203,POINT (37.66769983 55.58688305)
Аптека,А693; А796; А203,POINT (37.67394639 55.58647914)
Метро Царицыно (выс.),А269; А756; А221; А203; А761; А245,POINT (37.66913584 55.62043562)
МЦД Царицыно,А269; А756; А182; А1130; А221; А701; А203; А761; А679; А269К; А289,POINT (37.66569922 55.61777082)
Аптека,А693; А717; А796; А203,POINT (37.67316492 55.58672121)
Школа,А693; А701; А203; АН13,POINT (37.66620546 55.58602281)
Ин-т Садоводства,А693; А701; А203; АН13,POINT (37.67135517 55.58139899)
МЦД Москворечье,А299; А608; АТ67,POINT (37.68606176 55.64038168)
Метро Таганская,А74; А255; АН5,POINT (37.65258157 55.74208817)
Динамовская ул.,А608; АН13; А156; А9,POINT (37.66091412 55.72985793)
Арбатецкая ул.,А608; АН13; А156; А9,POINT (37.6626817 55.72693708)
Арбатецкая ул.,А608; АН13; А156; А9,POINT (37.66305015 55.72740792)
"Новохохловская ул., 3",А106,POINT (37.7108763 55.7318648)
"Новохохловская ул., 11",А106,POINT (37.70941725 55.72875593)
"Новохохловская ул., 11",А106,POINT (37.70873949 55.72956769)
"Новохохловская ул., 3",А106,POINT (37.71155488 55.73226769)
Лебедянская ул.,А796; А1130; А701; АН13; А289,POINT (37.66506961 55.58773233)
МЦД Царицыно,А182; А1130; АДП23; А701; А245; А679; А269К; АН13; А289,POINT (37.66815749 55.61874665)
Метро Царицыно,АДП23; А701; АН13,POINT (37.66851402 55.62291897)
Детская п-ка,АДП23; А701; АН13,POINT (37.66524815 55.62652209)
Детская п-ка,АДП23; А701; АН13; А756,POINT (37.6657092 55.62560007)
Метро Царицыно,АДП23; А701; АН13; А756,POINT (37.66857963 55.62234645)
Метро Царицыно,А269; А756; А221; А701; А203; АН13,POINT (37.66935035 55.61980397)
Метро Каширская (пос.),А742,POINT (37.65000536 55.65430775)
Динамовская ул.,АН13; А156; А901,POINT (37.66040455 55.73154332)
Ул. Новотетерки,А620; А36; А254; А7,POINT (37.79710045 55.74490279)
Полимерная ул. - Объединение Узоры,А620; А36; А254; А7,POINT (37.80171959 55.74697901)
Рижский вокзал,А379; А265; А778; А810; А38; А84; АМ2; А33; АТ18; АТ42,POINT (37.63492459 55.79346767)
"3-й Павелецкий пр. (к/ст, пос.)",А186; А184; А106; А632; А13; А158; А700,POINT (37.63897215 55.71076528)
"3-й Павелецкий проезд, 7",А186; А184; А106; А632; А13; А158; А700,POINT (37.64267692 55.71147068)
Пожарная часть,А186; А184; А106; А632; А13; А158; А700,POINT (37.6462945 55.71223273)
"Павелецкая наб., 2",А184; А106; А632; А13; А158,POINT (37.64747677 55.71707434)
Детский сад,А184; А106; А632; А13; А158,POINT (37.65200456 55.71998434)
"Дербеневская наб., 7",А184; А106; А632; А13; А158,POINT (37.65640584 55.72305694)
Новоспасский мост,А106; А632; А13; А158,POINT (37.64950848 55.72872076)
Кожевническая ул.,А106; А632; А13; А158,POINT (37.642891718172784 55.73040087767273)
Метро Таганская,АБК; А51; А106; А156,POINT (37.65269267 55.74105305)
Кожевническая ул.,А106; А632; А13; А158,POINT (37.6435100968 55.7300088272)
Новоспасский мост,А106; А632; А13; А158,POINT (37.65044572 55.72824989)
"Дербеневская наб., 7",А184; А106; А632; А13; А158,POINT (37.65510401 55.72179116)
Детский сад,А184; А106; А632; А13; А158,POINT (37.6505129431 55.719668494)
"Павелецкая наб., 2",А184; А106; А632; А13; А158,POINT (37.6466684 55.71598707)
2-й Павелецкий пр.,А184; А106; А632; А13; А158,POINT (37.64725832 55.71304109)
"3-й Павелецкий проезд, 7",А186; А184; А106; А632; А13; А158; А700,POINT (37.64256264 55.7117145)
3-й Павелецкий пр. (выс.),А186; А184; А106; А632; А13; А158; А700,POINT (37.63916912 55.71101165)
Перовский рынок - Платф. Новогиреево,А21,POINT (37.81844797 55.74322566)
Реутовская ул.,А21; А706; А387к; А487к; А926к; А916к; А582к; А100к; А811; АН4; А974; АТ75,POINT (37.83370267 55.7436577)
Юбилейный просп.,А21; А706; А760; А387к; А487к; А582к; А100к; А1250к; А811; АН4; А974; АТ75,POINT (37.8532869307 55.7447010324)
Метро Новокосино,А21; А940к; А941к; А1226к; А1064; А1250к; А79; А773; А1138; А811; АН4; А1123; А974; А14; А706; А760; АТ75,POINT (37.8635076918 55.7446138235)
Метро Новокосино,А21; А940к; А941к; А1064; А723; А79; А502; А811; АН4; А974; А14; А613; А792; А1138; АТ75,POINT (37.86434601 55.74325225)
"Новокосинская ул., 39",А941к; А723; А79; А811; АН4; А613; А706; А974,POINT (37.87076249 55.74268181)
"Новокосинская ул., 47",А941к; А723; А79; А811; АН4; А613; А706; А974,POINT (37.875724 55.74350381)
"Салтыковская ул., 41",А1227к; А941к; А723; А79; А811; А613; А974; АТ75,POINT (37.87984186 55.74309397)
"Салтыковская ул., 33",А1227к; А941к; А723; А79; А811; А613; А974; АТ75,POINT (37.87533541 55.73989147)
МФЦ Новокосино,А1227к; А941к; А723; А79; А811; А613; А974; АТ75,POINT (37.87015491 55.73822997)
МФЦ Новокосино,А941к; А723; А79; А811; А613; А760; А974; АТ75,POINT (37.87110462 55.73818048)
"Салтыковская ул., 33",А941к; А723; А79; А811; А613; А760; А974; АТ75,POINT (37.87624563 55.74015921)
"Салтыковская ул., 41",А941к; А723; А79; А811; А613; А760; А974; АТ75,POINT (37.87967263 55.74264545)
"Новокосинская ул., 51",А941к; А723; А79; А811; АН4; А613; А760; А974,POINT (37.8785909 55.74433267)
"Новокосинская ул., 47",А941к; А723; А79; А811; АН4; А613; А760; А974,POINT (37.87438562 55.74353635)
"Новокосинская ул., 39",А941к; А723; А79; А811; АН4; А613; А760; А974,POINT (37.86898691 55.74297908)
Метро Новокосино,А21; А1227к; А940к; А941к; А1064; А723; А79; А1138; А502; А811; АН4; А974; А14; А613; А792; А885; А760; АТ75,POINT (37.86591669 55.74348062)
Метро Новокосино,А21; А706; А760; А387к; А487к; А916к; А1226к; А582к; А100к; А1250к; А811; АН4; А974; АТ75,POINT (37.86046008 55.74524604)
Реутовская ул.,А21; А706; А387к; А487к; А926к; А916к; А582к; А100к; А811; АН4; А974; АТ75,POINT (37.83291746 55.74392436)
Городецкая ул.,А1064; А723; А79; А792; А885; А760,POINT (37.86658874 55.7406752)
"Городецкая ул., 12",А1064; А723; А79; А792; А885; А760,POINT (37.86776456 55.73870916)
"Городецкая ул., 12",А1227к; А1064; А723; А79; А792; А885,POINT (37.86772471 55.73947993)
Городецкая ул.,А1227к; А1064; А723; А79; А792; А885,POINT (37.86667957 55.74115327)
Центр физической культуры и спорта,А659,POINT (37.77427126 55.7464923)
Ул. Плеханова,А659,POINT (37.76696208 55.7469733)
Ул. Плющева,А842; А659,POINT (37.76221938 55.74726386)
Ул. Плющева,А842; А659,POINT (37.76259541 55.74705218)
Ул. Плеханова,А659,POINT (37.76762014 55.74669087)
Ивановское,А1073к; А550к; А579к; А533к; А1012к; А306к; А193к; А125к; А108к; А1176; А1169; А17; А110; А193; А662,POINT (37.83998811 55.76628981)
Ивановское,А550к; А579к; А533к; А1012к; А1073к; А17; А110; А193; А662,POINT (37.8402335 55.76599556)
Ул. Николая Химушина,А3; А627,POINT (37.76358907 55.82105594)
"Ул. Николая Химушина, 9",А627,POINT (37.76052898 55.82125179)
Нагорный бульв.,АС5; А434,POINT (37.59612781 55.67343811)
Метро Академическая (сев.),А119; А315; А529; А121; АС5; А434,POINT (37.5752793488 55.6874795765)
Ул. Кржижановского,А196; А121; А57,POINT (37.56804193 55.68299077)
Метро Профсоюзная,А41; А196; А121; А57,POINT (37.564302 55.67955948)
Ул. Улофа Пальме,А91К; А67,POINT (37.51661724 55.71691882)
Гимназия,А91К; А67,POINT (37.51287444 55.72032597)
"Ул. Довженко, 6",А91К; А67,POINT (37.51353625 55.72096191)
Гимназия,А91К; А67,POINT (37.51166121 55.71991936)
Долина реки Коршуниха,А119; А317; А529; А786; А826; АС5,POINT (37.59704227 55.68051473)
Школа № 520,А119; А317; А529; А786; АС5,POINT (37.5981393 55.68447529)
"Ул. Шверника, 10",А119; А529; А786; АС5,POINT (37.58674933 55.69216082)
"Ул. Гримау, 1",А119; А529; А786; АС5,POINT (37.582411 55.69259698)
К/т Улан-Батор,А119; А529; А786; АС5,POINT (37.57818529 55.68867703)
Мичуринский просп.,А119; А113; А715; А1,POINT (37.52699105 55.71107026)
Менделеевская ул.,А119; А113; А715; А1; А111,POINT (37.52727298 55.70469314)
Университетский просп.,А119; А57; А434,POINT (37.55694556 55.69388146)
К/т Улан-Батор,А119; А529; А786; АС5,POINT (37.5797233724 55.6897824905)
"Ул. Гримау, 1",А119; А529; А786; АС5,POINT (37.58300472 55.69281131)
"Ул. Шверника, 10",А119; А529; А786; АС5,POINT (37.58818518 55.6915204)
Школа № 520,А119; А317; А529; А786; АС5,POINT (37.59845029 55.68414227)
Долина реки Коршуниха,А119; А317; А529; А786; А826; АС5,POINT (37.59649295 55.68054169)
Охотничья ул.,Тм4П; Тм25,POINT (37.68302898 55.79569407)
Майский просек,Тм4П; Тм25,POINT (37.68880387 55.80277099)
Б. Оленья ул.,Тм4П; Тм25,POINT (37.69184905 55.80546837)
Б. Оленья ул.,Тм4Л; Тм25,POINT (37.6916174 55.8056826)
Майский просек,Тм4Л; Тм25,POINT (37.68838214 55.80262127)
Охотничья ул.,Тм4Л; Тм25,POINT (37.682814 55.79579391)
Сокольническая Застава,Тм4Л; Тм25,POINT (37.68047038 55.79263076)
"16-я Парковая ул., 6",А833; А34,POINT (37.82570661 55.79956143)
Ростокинский пр.,А75; Тм11; Тм4Л,POINT (37.68489199 55.81570202)
Метро Бульв. Рокоссовского,А265; А311; А86; А80; АО4,POINT (37.73386059 55.81420227)
Елоховская пл.,АМ3; АТ25; АН3; АТ22; АТ88,POINT (37.67304849 55.77141894)
МКАД,А818; А867; А231; А16; А612,POINT (37.40154391 55.70415192)
"Сколковское ш., 31",А818; А867; А231; А16; А612,POINT (37.40346649 55.70667886)
Ул. Клочкова,А688; А190; А459; А45; А612; А610; А733; А11; А236,POINT (37.4497288 55.72275051)
"Рябиновая улица, 14",А779; А781; А612; А610; А575; А554; А622,POINT (37.42208227 55.71205304)
Ул. Клочкова,А688; А459; А464; А733; А11; А622; А236,POINT (37.44911787 55.72281388)
Метро Парк Победы,А301к; А339; А442; А454; А157; АТ39К; А840; А266; АТ34; АТ39; АТ7; АТ7к,POINT (37.51832771 55.73604531)
"Вяземская ул., 13",А818; А867; А231; А609; А180,POINT (37.40489499 55.71062771)
95-й кв. Кунцева,А205; А231; А16,POINT (37.39874902 55.70469786)
МКАД,А818; А867; А205; А1147,POINT (37.39971171 55.70258908)
Детская ул.,А265; А86,POINT (37.71554873 55.80939939)
Ул. Измайловский Вал,Тм11; Тм46; Тм2; Тм36,POINT (37.71725535 55.78644261)
"Рябиновая ул., 45",А779; А781; А610; А575; А554; А622,POINT (37.42363462 55.69617565)
"Рябиновая ул., 45",А779; А781; А610; А575; А554; А622,POINT (37.42395406 55.69653998)
Чусовская ул.,А68; А760; А833; А506к; А1222к; А102к; А447к; А735; А716; А133; А52; А97; А449; АТ41; А171; АТ32; АТ83,POINT (37.81004066 55.81070672)
Метро Преображенская пл.,А716; А86; А171,POINT (37.71318697 55.79578125)
Метро Преображенская пл.,А52; А449; А34; А34К; А230; А80; А372; АТ83,POINT (37.71719821 55.79686661)
Ф-ка Буревестник,А122; А40; АДП52,POINT (37.66165986 55.78993974)
Новорязанская ул.,А40; АТ22; АТ88,POINT (37.65781679196991 55.772102438141104)
Поликлиника,А40; А360; А340,POINT (37.6873138944 55.7411221452)
Метро Римская,А40; А360; А340,POINT (37.68144006 55.74565409)
Поликлиника,А3; А171,POINT (37.7787381 55.81283677)
Поликлиника,АП122; А171,POINT (37.77943848 55.81276615)
Ул. Бирюсинка,А171,POINT (37.77843898 55.81697392)
Муз. школа,А171,POINT (37.81218761 55.81462641)
Метро Бульв. Рокоссовского,А775; А327; А3; А822; А75,POINT (37.73406676 55.81407566)
Поликлиника,АП122; А3; А627,POINT (37.78040392 55.8125181)
Метро Серпуховская,АН8; АМ5; А632; АМ6,POINT (37.62518345381227 55.72720635006022)
Дербеневская ул.,А106; А632; А13; А158,POINT (37.65145562 55.72566468)
Метро Текстильщики (пос.),А861; А54; АВч; А228; А623; А350; А650,POINT (37.73091474 55.70628558)
Метро Кузьминки,А658; А713; А551к; АН5; АТ74,POINT (37.76403231 55.70457697)
Южный порт - 2,А736; А193,POINT (37.70947336 55.69817498)
Бирюлёвские пруды,А693; А690,POINT (37.66980461 55.57452511)
Михневский пр.,А693; А690,POINT (37.66842769 55.57811394)
Михневский пр.,А693; А690,POINT (37.66826511 55.57776967)
Бирюлёвские пруды,А693; А690,POINT (37.66945572 55.57480885)
Метро Выхино,А569; А731; А551; А159,POINT (37.81836593 55.71503758)
138-й кв. Выхина (выс.),А209; А51; АМ7; АН7; А731; А99; А115; А159; АТ63,POINT (37.81738103 55.69373765)
138-й кв. Выхина (пос.),А209; А51; АМ7; АН7; А731; А99; А115; А159; АТ63,POINT (37.81822753 55.69394855)
Каширское шоссе (МКАД),А766; А907; А694; АТ71; А704к; А704; АН5; А263; АТ67,POINT (37.72559507 55.59776398)
Метро Пролетарская,Тм38; Тм12; Тм43; ТмА,POINT (37.6640917143 55.7313433487)
52-я гор. б-ца,А105; А800,POINT (37.48559672 55.80483956)
Ростокинский пр.,Тм4П; Тм25,POINT (37.68563378 55.81514063)
Заревый пр.,А181; А696; АС15; АН6,POINT (37.65916633 55.88252054)
Метро Выхино,А706; АТ64,POINT (37.81823386 55.71683104)
Метро Новокосино,А585к; А706; А760; А387к; А487к; А582к; А100к; А142; А111к,POINT (37.86553729 55.74573695)
Носовихинское ш.,А706; А760; А387к; А487к; А582к; А100к; А142,POINT (37.8746828 55.74752849)
Николо-Архангельское кладб.,А706; А760; А723,POINT (37.88830802 55.74772141)
Николо-Архангельское кладб.,А706; А760; А723; АН4,POINT (37.88852631 55.74798919)
Носовихинское ш.,А706; А760; А387к; А487к; А582к; А100к; А1138; А142,POINT (37.8731246 55.74744604)
Метро Выхино (выс.),А232; А872; А821; А841; А706; А884; А772; А79; А747; А502; А247; А602; А722; А409,POINT (37.82042173 55.71766697)
Ивановское,А760; А926к; А1250к; А1174; А28,POINT (37.84269421 55.76827489)
Реутово,А760; А926к; А1250к; А1174,POINT (37.8419624478 55.7538382405)
Реутово,А760; А926к; А1250к; А1174,POINT (37.842775261 55.7537454198)
Ивановское,А760; А1250к,POINT (37.84364322 55.76846037)
Домодедовская ул.,А717; А694; А758; А275,POINT (37.71025463 55.60961921)
Метро Домодедовская,А717; А694; А758; А275,POINT (37.7154697724 55.61048515)
Метро Домодедовская,А287; А593к; А37; А694; А768; А758; А1017; А275; АН5,POINT (37.72340202 55.61174621)
