address_new,quarters_count,geometry
"проспект 40 лет Октября 23 корп 1, Москва, Россия, 109382",67,POINT (37.7465 55.67556)
"проспект 40 лет Октября 36, Москва, Россия, 109382",282,POINT (37.74535 55.67363)
"проспект 40 лет Октября 40, Москва, Россия, 109382",110,POINT (37.74619 55.67174)
"улица 50 лет Октября 1, Москва, Россия, 119620",85,POINT (37.41467 55.64813)
"улица 50 лет Октября 1 корп 1, Москва, Россия, 119618",81,POINT (37.41507 55.64744)
"улица 50 лет Октября 2 корп 1, Москва, Россия, 119618",14,POINT (37.41573 55.65336)
"улица 50 лет Октября 2 корп 2, Москва, Россия, 119618",231,POINT (37.41675 55.65377)
"улица 50 лет Октября 2 корп 3, Москва, Россия, 119618",145,POINT (37.41656 55.65304)
"улица 50 лет Октября 3, Москва, Россия, 119620",144,POINT (37.41416 55.64894)
"улица 50 лет Октября 5, Москва, Россия, 119620",142,POINT (37.41353 55.64997)
"улица 50 лет Октября 5 корп 2, Москва, Россия, 119620",144,POINT (37.4128 55.64935)
"улица 50 лет Октября 5 корп 3, Москва, Россия, 119620",145,POINT (37.41173 55.64916)
"улица 50 лет Октября 6 корп 2, Москва, Россия, 119618",6,POINT (37.41628 55.65534)
"улица 50 лет Октября 7, Москва, Россия, 119618",82,POINT (37.41249 55.65058)
"улица 50 лет Октября 9, Москва, Россия, 119618",65,POINT (37.41262 55.65101)
"улица 50 лет Октября 9 корп 1, Москва, Россия, 119618",65,POINT (37.41147 55.65052)
"улица 50 лет Октября 9 корп 2, Москва, Россия, 119618",65,POINT (37.4112 55.65028)
"улица 50 лет Октября 11, Москва, Россия, 119618",82,POINT (37.41279 55.65165)
"улица 50 лет Октября 15, Москва, Россия, 119618",96,POINT (37.41458 55.65338)
"улица 50 лет Октября 17, Москва, Россия, 119618",97,POINT (37.41462 55.65372)
"улица 50 лет Октября 19, Москва, Россия, 119618",139,POINT (37.4135 55.65428)
"улица 50 лет Октября 19 корп 1, Москва, Россия, 119618",144,POINT (37.41238 55.65387)
"улица 50 лет Октября 19 корп 2, Москва, Россия, 119618",144,POINT (37.41194 55.65327)
"улица 50 лет Октября 21, Москва, Россия, 119618",144,POINT (37.41393 55.65489)
"улица 50 лет Октября 23, Москва, Россия, 119618",145,POINT (37.41266 55.65569)
"улица 50 лет Октября 23 корп 1, Москва, Россия, 119618",143,POINT (37.41153 55.65528)
"улица 50 лет Октября 23 корп 2, Москва, Россия, 119618",145,POINT (37.4111 55.65468)
"улица 50 лет Октября 25, Москва, Россия, 119618",145,POINT (37.41308 55.65629)
"улица 50 лет Октября 27, Москва, Россия, 119618",145,POINT (37.41182 55.65709)
"улица 50 лет Октября 27 корп 1, Москва, Россия, 119618",145,POINT (37.41069 55.65668)
"улица 50 лет Октября 27 корп 2, Москва, Россия, 119618",145,POINT (37.41027 55.65609)
"улица 50 лет Октября 29, Москва, Россия, 119618",240,POINT (37.41216 55.65783)
"проспект 60-летия Октября 6, Москва, Россия, 119334",82,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",75,POINT (37.57872 55.7025)
"проспект 60-летия Октября 5 корп 4, Москва, Россия, 119334",74,POINT (37.58044 55.70303)
"проспект 60-летия Октября 5 корп 4, Москва, Россия, 119334",89,POINT (37.58044 55.70303)
"проспект 60-летия Октября 6, Москва, Россия, 119334",94,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",95,POINT (37.57872 55.7025)
"проспект 60-летия Октября 5 корп 4, Москва, Россия, 119334",86,POINT (37.58044 55.70303)
"проспект 60-летия Октября 5 корп 4, Москва, Россия, 119334",86,POINT (37.58044 55.70303)
"проспект 60-летия Октября 8А, Москва, Россия, 117312",173,POINT (37.57803 55.70057)
"проспект 60-летия Октября 6, Москва, Россия, 119334",68,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",68,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",79,POINT (37.57872 55.7025)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",80,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",59,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",60,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",60,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15, Москва, Россия, 117312",1,POINT (37.58087 55.69797)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",79,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",60,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",40,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15, Москва, Россия, 117312",319,POINT (37.58087 55.69797)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",48,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",63,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",62,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 6, Москва, Россия, 119334",64,POINT (37.57872 55.7025)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",63,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",64,POINT (37.57905 55.69709)
"проспект 60-летия Октября 15 стр 3, Москва, Россия, 117312",64,POINT (37.57905 55.69709)
"улица 800-летия Москвы 1 корп 1, Москва, Россия, 127247",128,POINT (37.54972 55.87938)
"улица 800-летия Москвы 1 корп 4, Москва, Россия, 127247",128,POINT (37.54899 55.8806)
"улица 800-летия Москвы 2 корп 1, Москва, Россия, 125412",386,POINT (37.53105 55.87532)
"улица 800-летия Москвы 2 корп 2, Москва, Россия, 125412",96,POINT (37.53276 55.87527)
"улица 800-летия Москвы 3 корп 1, Москва, Россия, 127591",215,POINT (37.55168 55.87961)
"улица 800-летия Москвы 3 корп 2, Москва, Россия, 127591",215,POINT (37.55038 55.88035)
"улица 800-летия Москвы 4 корп 1, Москва, Россия, 127247",131,POINT (37.53475 55.87559)
"улица 800-летия Москвы 4 корп 2, Москва, Россия, 127247",320,POINT (37.53614 55.87606)
"улица 800-летия Москвы 5 корп 1, Москва, Россия, 127591",287,POINT (37.55448 55.88007)
"улица 800-летия Москвы 5 корп 3, Москва, Россия, 127591",287,POINT (37.55122 55.8813)
"улица 800-летия Москвы 6, Москва, Россия, 127247",382,POINT (37.53781 55.8761)
"улица 800-летия Москвы 7 корп 1, Москва, Россия, 127591",287,POINT (37.56076 55.88063)
"улица 800-летия Москвы 8, Москва, Россия, 127247",128,POINT (37.53994 55.87672)
